temperature,humidity,snr,sound_voltage,cough,label
25.8,51.3,46.6,2.28,0,0
25.8,51.4,50.8,2.48,0,0
25.8,51.4,50.2,2.45,0,0
25.8,51.4,50.3,2.46,0,0
25.8,51.5,49.8,2.43,0,0
25.8,51.5,50.6,2.47,0,0
25.8,51.5,49.4,2.41,0,0
25.8,51.5,51.4,2.51,0,0
25.8,51.4,49.6,2.42,0,0
25.8,51.3,50.8,2.48,0,0
25.8,51.4,51,2.49,0,0
25.8,51.3,50.3,2.46,0,0
25.8,51.3,50.6,2.47,0,0
25.8,51.4,50.7,2.48,0,0
25.8,51.4,50.7,2.48,0,0
25.8,51.5,49.9,2.44,0,0
25.8,51.4,50.7,2.48,0,0
25.8,51.3,50.1,2.45,0,0
25.8,51.4,50.5,2.47,0,0
